student_id,semester,age,gender,level,faculty,city_type,sleep_hours,study_hours,screen_hours_academic,screen_hours_leisure,physical_activity_hours,academic_pressure,social_support,financial_stress,gpa,exam_period,anxiety_score,depressive_symptoms,stress_level,burnout_risk
16,2023S1,19,F,L1,Lettres,Urbain,6.3,5.2,3.5,9.1,2.7,4,3,2,13.9,0,6.6,2.0,3,Faible
16,2023S1,24,F,L2,Gestion,Urbain,6.4,3.9,2.1,7.0,2.3,2,4,3,12.3,0,3.6,1.0,2,Faible
17,2024S2,25,F,Bac,Sciences,Urbain,4.6,7.0,7.9,3.6,1.7,4,1,2,13.5,0,3.0,2.8,3,Faible
17,2023S2,19,M,Bac,Ingénierie,Urbain,4.8,4.2,3.4,5.4,3.2,1,1,1,10.7,0,3.2,2.7,2,Faible
18,2023S2,19,M,L2,Lettres,Rural,6.1,3.3,1.5,7.2,1.9,4,4,1,12.7,0,5.7,3.0,3,Faible
18,2023S1,18,F,L1,Médecine,Rural,5.3,3.7,1.9,4.9,1.8,2,3,3,7.6,1,3.2,4.2,2,Faible
19,2024S2,24,F,L2,Ingénierie,Urbain,6.2,5.5,7.3,1.8,1.5,1,4,1,18.0,1,5.3,1.6,2,Faible
19,2023S1,26,F,Bac,Ingénierie,Urbain,7.5,10.3,3.1,4.7,1.6,1,5,3,13.2,0,3.8,1.5,3,Faible
20,2023S1,17,F,L1,Sciences,Urbain,7.3,7.2,3.4,3.5,2.5,2,2,4,17.1,0,2.2,5.1,3,Faible
20,2024S1,24,F,L2,Lettres,Urbain,6.8,2.1,6.2,3.6,2.9,5,4,3,11.2,0,4.0,3.2,3,Faible
21,2024S1,23,M,L2,Gestion,Rural,7.5,5.0,5.8,2.7,0.9,2,4,5,8.9,1,3.3,4.2,2,Faible
21,2024S1,23,F,L1,Gestion,Urbain,7.7,2.9,1.9,1.8,2.3,2,5,5,10.5,0,2.6,3.5,2,Faible
22,2023S2,19,M,L1,Lettres,Rural,7.7,3.7,2.1,2.9,0.7,3,3,1,11.9,0,2.3,3.1,3,Faible
22,2024S2,17,M,L1,Droit,Urbain,7.7,3.9,2.5,5.5,2.9,1,2,4,11.7,1,2.6,3.4,2,Faible
23,2024S2,20,F,Bac,Sciences,Rural,4.6,4.3,2.9,6.0,4.2,3,2,5,17.6,1,4.5,2.9,4,Moyen
23,2024S2,25,M,L1,Sciences,Rural,3.7,6.3,5.0,8.3,2.8,3,1,5,9.4,0,6.6,3.4,5,Moyen
24,2024S2,21,F,Bac,Médecine,Rural,5.2,4.0,3.3,3.0,1.5,3,2,5,10.2,1,5.4,6.5,2,Faible
24,2024S1,17,F,L2,Sciences,Urbain,5.7,4.8,2.9,2.4,3.5,4,2,1,14.1,1,5.3,4.8,4,Moyen
25,2023S2,21,F,L2,Lettres,Rural,7.6,4.5,3.5,5.8,0.1,2,2,2,7.2,0,3.8,4.4,2,Faible
25,2023S2,24,F,L1,Lettres,Urbain,6.2,3.1,2.5,1.1,2.5,3,2,2,11.9,0,3.2,3.0,3,Faible
26,2024S1,24,F,L1,Gestion,Rural,5.6,3.4,6.3,0.0,6.2,4,5,2,12.4,1,6.2,2.7,2,Faible
26,2023S2,21,F,Bac,Ingénierie,Urbain,6.5,3.3,2.2,5.7,0.7,4,1,1,13.3,1,4.0,1.9,3,Faible
27,2024S1,25,F,L2,Sciences,Urbain,7.1,5.8,3.5,2.2,1.5,1,4,2,13.0,0,2.7,3.9,1,Faible
27,2024S2,17,F,M1,Ingénierie,Rural,7.4,3.8,4.6,2.6,1.7,2,1,3,18.0,0,4.0,3.4,3,Faible
28,2024S1,20,F,L2,Lettres,Rural,5.7,8.0,4.7,5.3,0.3,5,3,1,9.3,0,7.9,3.0,4,Moyen
28,2024S2,19,F,L3,Ingénierie,Rural,5.0,2.9,2.8,4.2,0.9,2,4,1,10.1,1,3.4,2.9,3,Faible
29,2024S2,18,F,L3,Sciences,Urbain,5.2,2.9,5.5,3.5,2.0,4,1,4,13.8,0,3.0,3.6,3,Faible
29,2023S1,24,F,L1,Ingénierie,Rural,6.5,2.4,7.4,1.4,4.4,2,1,5,12.7,0,4.3,4.6,3,Faible
30,2024S1,23,M,Bac,Droit,Rural,4.8,4.3,6.7,2.9,2.7,1,1,4,13.1,0,4.7,5.5,4,Moyen
30,2023S1,25,F,L2,Gestion,Urbain,7.6,3.4,0.0,3.0,3.7,2,1,2,7.8,1,3.0,4.2,2,Faible
31,2024S1,18,M,Bac,Droit,Rural,4.8,3.8,3.4,3.2,3.3,4,1,1,18.0,1,4.2,3.1,4,Moyen
31,2024S1,20,F,L2,Lettres,Urbain,4.1,6.5,2.3,5.2,2.5,4,1,1,13.4,0,3.4,1.8,4,Moyen
32,2023S1,22,M,L3,Médecine,Urbain,6.5,4.2,4.5,4.7,0.0,3,5,2,7.3,0,4.4,2.9,2,Faible
32,2023S1,27,F,L3,Sciences,Urbain,5.9,3.7,5.4,3.6,4.4,4,5,5,13.8,0,7.2,2.9,3,Moyen
33,2024S1,19,M,L1,Ingénierie,Urbain,7.0,5.1,1.4,4.3,3.5,1,4,4,8.7,0,5.4,3.9,3,Faible
33,2023S2,24,M,L2,Gestion,Urbain,5.6,4.9,5.1,7.6,2.4,4,2,5,14.8,1,5.5,3.3,3,Faible
34,2024S2,19,F,L2,Lettres,Urbain,6.9,6.0,3.5,4.7,0.1,2,1,2,8.1,1,3.2,2.8,3,Faible
34,2023S1,18,M,L3,Ingénierie,Urbain,7.7,6.2,3.0,6.9,0.0,5,2,4,15.0,0,5.2,4.3,3,Faible
35,2024S2,19,F,L3,Sciences,Urbain,5.4,5.4,4.5,2.9,0.2,4,5,4,8.3,1,4.7,4.5,4,Moyen
35,2023S2,27,F,M2,Gestion,Urbain,7.0,6.4,3.2,3.6,1.0,1,3,5,9.1,1,2.8,4.2,3,Faible
36,2023S2,22,M,Bac,Sciences,Urbain,8.8,3.1,5.5,3.4,2.6,1,1,5,12.4,0,3.1,5.1,2,Faible
36,2023S2,18,M,L1,Gestion,Urbain,7.4,4.3,2.8,4.8,1.6,1,4,1,10.2,1,4.6,1.3,2,Faible
37,2023S1,24,F,L1,Ingénierie,Urbain,5.2,4.7,5.9,5.0,2.1,1,2,1,10.3,1,3.4,3.5,3,Faible
37,2023S2,17,F,Bac,Sciences,Rural,6.8,4.7,3.5,5.1,2.8,2,4,5,7.4,0,3.6,2.0,3,Faible
38,2023S1,23,M,M1,Ingénierie,Rural,4.5,10.7,0.0,0.0,4.0,3,1,2,11.0,1,4.4,6.1,3,Faible
38,2023S2,18,M,M2,Gestion,Urbain,4.7,6.7,2.1,2.2,1.1,5,2,5,14.7,0,6.5,5.5,5,Moyen
39,2024S2,26,M,Bac,Médecine,Urbain,8.4,6.6,3.3,4.5,0.0,3,2,1,17.6,1,4.7,3.8,2,Faible
39,2024S2,22,M,Bac,Sciences,Urbain,6.9,3.9,4.2,7.7,0.8,3,1,4,14.5,0,2.8,2.3,4,Moyen
40,2024S1,18,F,L1,Lettres,Urbain,8.5,4.4,3.3,3.0,2.9,3,3,2,14.1,1,3.5,1.5,1,Faible
40,2024S2,18,M,L3,Sciences,Rural,6.9,6.0,2.2,8.5,3.3,2,1,1,6.9,0,4.8,5.0,3,Faible
41,2024S1,26,F,L1,Sciences,Urbain,5.5,7.5,6.7,1.3,3.3,5,4,2,11.9,0,4.7,1.3,3,Faible
41,2024S2,24,F,Bac,Gestion,Urbain,6.4,2.8,6.0,4.5,1.0,4,5,2,10.0,1,6.3,3.4,2,Faible
42,2023S1,18,F,Bac,Sciences,Urbain,6.7,3.6,1.3,3.7,2.5,4,5,4,7.5,1,5.6,5.1,4,Moyen
42,2024S2,23,M,L1,Médecine,Rural,9.4,4.1,2.0,3.0,4.3,5,5,1,8.2,0,6.1,2.1,1,Faible
43,2024S1,19,F,M1,Droit,Urbain,7.3,5.0,4.1,5.8,3.1,5,2,5,14.0,0,4.6,2.4,4,Moyen
43,2024S1,24,M,L1,Gestion,Urbain,5.3,6.0,3.2,3.8,0.0,1,2,2,10.3,0,4.4,1.5,2,Faible
44,2023S2,23,F,L1,Gestion,Urbain,6.0,5.9,0.0,1.0,1.9,3,1,2,7.6,0,5.0,3.8,3,Faible
44,2023S1,24,F,Bac,Gestion,Urbain,7.0,5.4,2.2,0.1,1.5,1,2,4,10.1,1,4.8,2.7,2,Faible
45,2024S2,23,M,L1,Sciences,Rural,4.8,3.0,4.8,1.9,0.0,2,4,1,12.9,0,4.4,2.8,1,Faible
45,2023S2,27,F,L2,Ingénierie,Urbain,6.3,4.2,3.7,5.3,4.2,2,1,2,10.0,0,5.0,1.8,2,Faible
46,2024S2,22,F,L1,Ingénierie,Urbain,6.0,1.8,1.8,3.6,0.0,5,4,2,8.4,1,4.4,2.5,3,Faible
46,2024S2,23,F,L1,Droit,Urbain,7.0,6.5,2.5,6.1,1.8,2,5,3,9.2,1,3.7,2.3,2,Faible
47,2023S2,21,M,L3,Sciences,Urbain,6.2,4.6,3.1,3.7,4.0,5,4,3,14.7,1,3.4,2.6,4,Moyen
47,2023S2,23,F,Bac,Médecine,Urbain,4.3,2.2,8.1,4.6,0.7,4,5,2,6.0,0,4.6,1.9,3,Faible
48,2023S2,17,F,L2,Droit,Urbain,6.2,9.2,3.6,7.0,2.0,3,2,4,11.2,1,3.5,4.1,5,Moyen
48,2023S2,17,F,L1,Lettres,Urbain,7.4,0.0,2.2,3.6,2.7,2,1,5,11.7,1,4.3,5.2,2,Faible
49,2023S2,25,F,L1,Droit,Urbain,8.3,4.4,6.7,7.9,0.8,1,3,3,9.7,0,4.1,3.0,3,Faible
49,2024S2,21,F,L2,Gestion,Urbain,7.6,7.1,4.5,5.4,1.1,2,4,3,9.1,1,4.3,3.6,3,Faible
50,2023S2,21,F,L3,Ingénierie,Rural,4.1,3.5,2.1,2.1,2.5,3,1,1,15.0,1,5.7,2.2,3,Faible
50,2023S1,19,F,L2,Lettres,Rural,4.4,4.8,3.5,1.6,3.0,2,3,5,14.9,0,4.6,1.8,4,Moyen
51,2024S1,21,M,Bac,Ingénierie,Rural,4.8,5.5,3.2,1.1,3.2,5,1,3,12.3,0,5.2,3.9,4,Moyen
51,2023S2,19,F,L1,Sciences,Urbain,8.4,0.0,4.5,4.1,0.5,2,3,5,10.4,1,2.2,5.0,2,Faible
52,2023S2,25,F,L1,Gestion,Urbain,7.0,2.3,1.2,0.7,0.0,4,1,5,12.3,0,2.3,2.3,3,Faible
52,2024S2,25,F,L2,Gestion,Urbain,10.0,4.4,1.4,7.5,3.3,4,5,1,13.2,0,1.6,2.0,2,Faible
53,2023S2,22,F,L2,Lettres,Urbain,8.1,4.3,3.0,8.5,3.9,2,3,2,11.7,1,2.6,3.3,3,Faible
53,2023S2,17,M,Bac,Droit,Rural,6.4,1.8,1.9,0.8,5.9,1,1,2,13.3,0,4.3,3.1,3,Faible
54,2023S2,23,F,L2,Lettres,Rural,5.7,4.5,5.3,4.5,6.7,2,3,3,10.9,1,2.7,2.0,3,Faible
54,2024S2,23,F,L2,Sciences,Rural,6.8,5.6,1.6,0.1,4.6,5,5,1,6.0,1,3.9,2.1,3,Faible
55,2023S2,26,M,L1,Gestion,Urbain,7.5,7.1,7.8,5.4,0.4,5,3,3,11.4,0,4.1,4.5,4,Moyen
55,2024S1,26,F,L2,Lettres,Rural,8.0,4.9,3.2,5.9,1.7,5,3,3,14.1,0,6.1,2.3,3,Faible
56,2024S2,20,F,Bac,Droit,Rural,5.9,2.7,3.7,4.0,3.0,1,1,2,12.1,0,3.3,4.9,2,Faible
56,2024S1,24,F,L1,Ingénierie,Urbain,9.4,5.6,4.1,4.6,2.7,4,4,1,13.0,0,3.8,1.0,2,Faible
57,2024S2,22,F,M2,Sciences,Urbain,6.2,5.9,3.4,2.7,1.7,5,5,5,11.2,0,5.7,4.3,3,Faible
57,2023S2,20,F,L1,Lettres,Urbain,8.0,4.2,5.6,4.1,4.0,5,1,2,11.4,1,6.3,3.3,4,Moyen
58,2024S1,20,F,L1,Ingénierie,Urbain,6.8,3.7,3.8,5.4,1.3,2,2,3,12.5,1,4.0,3.1,2,Faible
58,2024S2,18,M,L2,Gestion,Rural,5.8,3.6,2.6,3.6,2.3,4,3,3,17.8,0,2.6,1.1,2,Faible
59,2023S1,18,M,M2,Ingénierie,Urbain,3.6,5.8,1.0,6.4,2.1,5,2,4,14.5,0,5.9,4.9,4,Moyen
59,2023S2,20,F,M2,Ingénierie,Urbain,4.6,4.2,4.2,2.6,2.7,5,1,1,14.1,1,7.1,2.1,4,Moyen
60,2024S2,21,F,L2,Gestion,Urbain,7.9,5.2,5.1,3.4,2.8,2,4,5,12.6,1,4.5,3.5,3,Faible
60,2023S1,24,F,Bac,Ingénierie,Urbain,7.4,3.0,1.2,0.0,0.7,2,5,5,8.0,0,4.0,4.0,2,Faible
61,2024S2,22,F,M1,Gestion,Urbain,7.1,4.6,2.8,8.6,0.0,3,1,3,15.7,0,4.4,6.5,4,Moyen
61,2023S1,20,F,L2,Sciences,Rural,8.5,2.3,5.2,0.0,1.3,2,4,4,14.7,1,1.3,3.1,2,Faible
62,2023S2,27,M,L1,Ingénierie,Urbain,4.9,3.3,2.0,6.2,2.4,2,1,4,13.1,0,1.8,3.8,2,Faible
62,2024S1,23,M,L3,Ingénierie,Rural,5.6,4.6,2.0,4.9,2.7,3,4,1,11.9,0,5.2,2.8,2,Faible
63,2023S1,24,M,L1,Gestion,Rural,5.7,3.0,3.2,4.0,1.1,5,2,3,13.6,0,6.7,3.7,4,Moyen
63,2024S2,18,M,Bac,Ingénierie,Urbain,4.4,3.7,5.9,2.2,2.4,2,4,3,11.3,0,3.5,2.1,2,Faible
64,2023S2,23,F,L3,Gestion,Rural,5.2,6.0,5.2,3.1,2.4,1,5,3,14.2,0,3.9,4.4,3,Faible
64,2023S1,18,F,L2,Gestion,Urbain,4.8,3.9,5.9,3.2,1.0,3,2,1,9.5,1,5.3,2.7,3,Faible
65,2024S2,18,F,L1,Gestion,Urbain,4.1,3.8,1.7,3.0,1.8,3,3,5,6.3,1,7.1,4.4,3,Moyen
65,2024S2,24,F,L1,Gestion,Urbain,5.0,2.7,2.3,0.0,0.2,5,2,2,8.4,0,5.1,3.2,3,Faible
66,2024S2,18,M,L2,Ingénierie,Urbain,6.2,3.5,3.2,5.2,0.0,2,2,4,12.4,0,4.8,3.3,3,Faible
66,2023S1,27,F,Bac,Ingénierie,Urbain,8.8,4.5,2.9,5.3,3.8,1,3,5,11.1,0,5.3,4.6,2,Faible
67,2023S1,25,M,L1,Gestion,Rural,4.9,5.8,2.1,3.3,2.3,5,2,2,11.6,0,4.9,3.4,4,Moyen
67,2023S1,17,F,L2,Sciences,Urbain,7.8,1.4,4.4,3.9,1.5,2,2,5,8.1,0,3.7,1.6,2,Faible
68,2024S1,25,M,M1,Lettres,Urbain,6.6,6.1,0.6,5.2,2.6,5,3,5,12.9,0,3.8,3.9,4,Moyen
68,2023S1,17,M,L2,Lettres,Rural,6.9,3.7,3.8,1.2,2.7,3,3,5,8.9,0,3.0,2.9,2,Faible
69,2023S1,26,M,L3,Ingénierie,Rural,6.5,4.3,6.5,0.8,5.0,3,5,5,13.5,1,5.6,1.2,3,Faible
69,2023S1,26,M,L3,Gestion,Urbain,3.7,5.9,3.6,4.0,4.0,2,2,3,7.8,1,6.1,4.3,4,Moyen
70,2024S1,18,F,L2,Droit,Urbain,4.8,8.9,2.0,3.3,2.5,5,2,5,9.5,0,6.9,3.0,4,Moyen
70,2023S1,22,M,Bac,Ingénierie,Urbain,7.1,5.6,1.2,3.1,5.2,2,2,2,9.1,0,2.2,3.0,2,Faible
71,2024S2,22,M,M1,Gestion,Urbain,6.4,3.5,4.1,5.2,1.9,4,5,2,13.7,0,4.2,3.6,2,Faible
71,2023S1,17,M,L1,Sciences,Urbain,4.0,4.9,6.6,3.2,3.8,2,2,4,10.6,0,5.0,3.1,3,Faible
72,2024S2,23,M,Bac,Médecine,Rural,6.0,5.3,3.9,4.9,1.2,4,3,1,13.3,1,1.9,3.2,3,Faible
72,2024S2,24,M,Bac,Lettres,Urbain,7.1,1.7,2.9,7.5,2.1,3,3,2,15.4,0,4.4,2.2,3,Faible
73,2024S2,18,M,L3,Gestion,Urbain,4.5,2.3,2.1,8.2,3.0,1,3,2,17.3,0,6.0,4.0,3,Faible
73,2024S1,24,F,Bac,Gestion,Rural,5.7,5.3,0.8,5.7,2.3,3,3,2,12.7,0,5.6,2.7,3,Faible
74,2024S1,25,M,Bac,Droit,Urbain,8.4,5.6,4.0,0.0,2.4,1,4,2,8.7,0,1.0,3.3,1,Faible
74,2024S1,22,F,L2,Gestion,Urbain,7.1,5.3,0.6,5.3,2.4,5,3,1,15.8,1,5.2,4.4,3,Faible
75,2023S1,21,F,M1,Gestion,Urbain,8.5,5.8,5.1,7.1,4.0,1,5,1,16.5,1,3.1,1.0,1,Faible
75,2024S2,25,F,L2,Gestion,Rural,5.8,3.8,4.6,4.5,2.1,5,4,5,11.8,0,5.6,2.7,4,Moyen
76,2024S1,27,F,Bac,Gestion,Rural,7.8,6.7,3.1,2.7,1.1,4,2,2,16.0,0,4.2,3.1,3,Faible
76,2024S1,25,F,Bac,Lettres,Rural,4.9,8.1,4.7,3.2,1.9,5,3,2,13.0,0,4.8,3.1,3,Faible
77,2023S1,17,F,L2,Droit,Urbain,7.5,3.2,3.8,6.5,3.9,2,2,4,7.0,1,1.0,4.2,3,Faible
77,2024S1,27,F,Bac,Lettres,Rural,5.3,2.0,4.6,2.9,3.3,2,3,4,10.1,1,4.7,4.8,3,Faible
78,2023S1,19,F,L2,Gestion,Urbain,6.9,4.4,5.1,2.1,1.8,2,3,4,10.5,0,4.5,2.7,2,Faible
78,2023S2,25,F,Bac,Sciences,Urbain,7.0,6.3,3.0,2.7,0.8,3,4,4,10.9,0,3.4,3.2,4,Moyen
79,2024S1,27,M,M1,Lettres,Urbain,7.3,5.8,1.2,4.1,1.2,2,3,5,9.2,0,5.2,5.1,2,Faible
79,2023S2,18,M,L1,Gestion,Urbain,4.9,4.8,7.6,3.6,2.0,5,3,3,9.1,1,3.6,3.7,4,Moyen
80,2023S1,20,M,Bac,Lettres,Urbain,6.7,0.0,3.1,0.8,1.9,5,1,4,16.0,1,3.1,2.1,4,Moyen
80,2024S2,20,M,M1,Sciences,Urbain,6.3,3.1,2.7,3.1,0.9,5,5,4,6.8,1,5.4,1.4,3,Faible
81,2024S1,18,M,L1,Droit,Urbain,8.1,6.7,4.3,7.8,3.4,2,5,1,9.8,0,2.3,1.5,2,Faible
81,2023S1,19,F,L1,Sciences,Urbain,5.4,1.0,3.2,4.4,1.1,4,2,2,13.9,1,6.1,4.0,3,Faible
82,2024S2,19,M,L3,Ingénierie,Rural,4.5,4.5,1.2,5.2,0.6,4,2,5,10.3,0,4.7,4.7,3,Faible
82,2024S2,17,M,L1,Gestion,Rural,4.0,3.4,1.4,1.2,1.7,3,4,2,13.2,0,6.3,1.8,2,Faible
83,2023S2,22,F,L1,Gestion,Urbain,5.9,5.8,1.9,5.3,2.7,5,2,3,10.8,1,4.4,4.2,3,Faible
83,2023S1,24,F,L1,Ingénierie,Urbain,5.7,1.2,4.1,7.0,0.6,5,1,5,13.3,1,5.7,4.7,4,Moyen
84,2024S2,19,M,Bac,Gestion,Urbain,5.9,3.9,2.2,4.6,2.1,3,2,3,8.9,0,1.9,2.2,2,Faible
84,2024S1,21,F,Bac,Ingénierie,Urbain,5.9,4.8,5.2,1.6,1.3,5,3,2,6.4,0,4.9,2.4,3,Faible
85,2024S1,17,M,L3,Sciences,Rural,8.3,3.8,3.2,5.3,1.5,1,2,1,10.8,0,2.8,1.0,1,Faible
85,2023S2,26,F,L2,Sciences,Urbain,6.1,5.7,3.4,5.6,2.0,3,2,4,6.6,1,6.0,2.5,3,Faible
86,2024S2,23,M,L1,Lettres,Urbain,7.9,1.4,3.6,2.6,2.9,5,3,2,11.8,0,2.7,1.0,2,Faible
86,2023S1,26,F,L1,Sciences,Urbain,6.8,2.3,1.6,6.1,2.0,3,1,5,8.6,0,3.9,2.4,3,Faible
87,2024S1,17,F,M1,Sciences,Rural,5.0,3.8,5.8,4.9,5.9,1,5,4,8.6,1,5.7,4.5,4,Moyen
87,2024S2,27,F,M2,Gestion,Urbain,6.3,5.2,4.1,0.0,3.0,1,1,5,16.4,1,5.7,3.7,3,Faible
88,2024S2,25,M,L1,Ingénierie,Urbain,8.5,5.5,3.2,2.8,2.6,2,1,3,12.8,0,2.2,1.6,3,Faible
88,2023S2,24,M,L3,Lettres,Urbain,7.7,4.8,2.5,3.3,1.5,5,4,5,7.4,0,4.0,4.0,3,Faible
89,2024S1,23,M,L3,Lettres,Rural,8.0,2.7,2.5,3.9,1.2,1,4,1,11.9,0,1.0,2.9,2,Faible
89,2024S1,26,F,L1,Lettres,Rural,7.0,3.3,1.4,4.0,3.5,1,3,3,11.6,1,1.0,3.3,2,Faible
90,2023S1,23,M,Bac,Ingénierie,Urbain,5.6,6.7,1.1,5.6,0.0,1,4,2,6.0,1,3.2,2.2,4,Moyen
90,2024S1,21,F,Bac,Médecine,Rural,8.6,8.5,1.1,5.6,3.7,2,5,4,13.0,0,2.5,3.5,2,Faible
91,2023S1,21,F,L3,Gestion,Rural,7.1,5.7,5.4,7.2,3.7,5,3,4,14.9,0,7.4,2.0,3,Moyen
91,2024S1,27,F,L3,Ingénierie,Rural,7.6,5.2,2.1,4.7,1.8,3,4,1,10.7,0,4.1,3.4,2,Faible
92,2023S2,21,M,L2,Sciences,Rural,6.5,2.2,1.6,7.0,3.7,2,2,5,11.1,0,3.7,4.6,2,Faible
92,2024S1,17,F,Bac,Médecine,Urbain,4.9,4.9,5.8,5.9,1.6,5,4,2,10.3,1,6.2,2.9,3,Faible
93,2023S1,24,F,L2,Sciences,Urbain,6.9,1.1,3.6,6.5,1.9,1,5,5,13.2,0,4.7,1.7,3,Faible
93,2023S1,27,M,L3,Droit,Rural,8.7,7.1,1.4,7.2,2.8,2,4,5,11.3,1,5.0,4.4,3,Faible
94,2023S2,17,M,M1,Lettres,Urbain,7.4,5.6,4.5,3.3,1.4,4,3,1,11.4,1,4.6,2.3,3,Faible
94,2024S1,20,F,Bac,Sciences,Rural,7.1,4.4,6.1,3.8,3.1,4,2,3,9.6,1,4.6,3.7,4,Moyen
95,2024S1,25,F,L2,Ingénierie,Urbain,5.1,2.2,4.7,0.0,1.3,1,3,3,18.0,0,3.9,4.1,3,Faible
95,2023S2,25,F,Bac,Droit,Urbain,8.4,4.9,3.7,6.2,2.4,5,2,1,11.2,0,4.2,1.9,3,Faible
96,2024S1,21,F,L3,Ingénierie,Urbain,8.2,1.5,4.3,6.0,6.0,5,2,1,14.1,1,3.9,4.8,3,Faible
96,2024S1,20,M,L2,Lettres,Rural,3.8,3.9,5.7,4.3,2.7,2,5,1,12.8,0,5.5,2.1,3,Faible
97,2023S1,19,F,Bac,Ingénierie,Urbain,7.6,5.3,6.6,5.6,3.6,4,1,5,6.0,1,4.4,3.3,4,Moyen
97,2024S1,19,M,L3,Lettres,Urbain,6.0,3.1,1.8,6.1,3.4,5,5,5,10.9,0,4.0,4.2,3,Faible
98,2024S1,21,M,Bac,Gestion,Rural,6.7,4.4,3.5,4.0,0.0,2,1,2,8.5,0,3.6,5.4,3,Faible
